"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YDL092W",439.570304212961,-0.246775435485327,0.0917747829396111,-2.68892420751034,0.00716826926437282,0.0391677178469412
"YDL241W",63.0061825995231,-0.542492562447065,0.17317668545696,-3.13259582844882,0.00173267855758039,0.0122457968488129
"YDL082W",6553.77562769178,-0.234226265081367,0.078099544482948,-2.9990733829761,0.00270802074084877,0.0178354885119678
"YDR291W",638.614622539569,0.260948862237429,0.0772012555347022,3.38011163717579,0.000724563930452017,0.00589065860400608
"YDR475C",399.710505355266,0.267585739306877,0.0919077302093233,2.91146064316288,0.00359743224809587,0.0226418270289427
"YDR382W",8674.13879512409,-0.292245918660495,0.06487546675081,-4.50472163511403,6.64600024329958e-06,0.000100034843284759
"YDL157C",481.943071763568,-0.34214302157884,0.111431805225489,-3.07042518862989,0.00213754228903354,0.014743669264717
"YDL191W",1304.80020241213,-0.243944400506534,0.070418129114705,-3.46422723201252,0.000531757119395776,0.00452489858131179
"YDL128W",1119.64958307568,0.317112674996135,0.0724371342451147,4.37776395078084,1.19903107595186e-05,0.000169672202366403
"YDR127W",9124.31722703222,1.00234424257637,0.103823216154424,9.65433628144891,4.71200597208755e-22,6.13714737017607e-20
"YDR497C",3549.03103109786,0.469097810411242,0.0880375635411705,5.32838247155568,9.9091285359544e-08,2.21119085022591e-06
"YDR385W",5889.85200414373,-0.612195155403888,0.0672921226756851,-9.0975753336593,9.23708834238379e-20,1.01639823794989e-17
"YDR001C",1266.98685835829,0.452710277052873,0.110091544370928,4.11212577350692,3.92032614726469e-05,0.000477471783813803
"YDR025W",8195.32404606479,-0.287766077184613,0.0869128357698558,-3.31097328300983,0.000929720846949851,0.0072714196632769
"YDR046C",1601.17056668691,0.349407826129676,0.121254623554259,2.88160414743544,0.00395656454819758,0.0245153348996087
"YDR408C",458.565451333944,-0.376844334520698,0.102236998764467,-3.68598784270723,0.000227817226501037,0.00218307738668111
"YDR019C",653.194154613021,0.267489715000834,0.10154937480066,2.63408529620111,0.00843642914948655,0.0441684092141289
"YDL124W",1371.2105565766,0.910582948760483,0.117386851623727,7.75711194367216,8.68852333490038e-15,5.71651091993136e-13
"YDL227C",750.680601405503,-0.377003424720693,0.105792390404731,-3.56361571260834,0.000365781340864879,0.00328791058788685
"YDL170W",374.612562141529,0.653602571062066,0.0830085206046181,7.87392145169376,3.43694770104753e-15,2.49256820773697e-13
"YDR208W",946.582820015813,0.267523349982891,0.0722946074669976,3.70046064784314,0.000215208452054709,0.0020873257462206
"YDR396W",81.8257594311026,-0.782347835786251,0.19688784706064,-3.97357098198801,7.08030450030414e-05,0.000794138898434816
"YDR380W",290.855548290476,1.08377182223681,0.104741309757245,10.3471287952063,4.31224276968215e-25,7.24229825160828e-23
"YDR515W",274.526871807138,-0.317286009345205,0.110452135194885,-2.87261091680461,0.00407095146606281,0.0250780041085066
"YDR133C",1298.92726248831,0.687656649114262,0.130012316533971,5.28916542252812,1.22875725348455e-07,2.64038006455838e-06
"YDR378C",413.635245926302,-0.45646998227089,0.133139341227523,-3.42851315067591,0.000606897132111456,0.00507630078261509
"YDR173C",102.542233805721,-0.875700826443818,0.171676040228571,-5.1008913374161,3.38057618208587e-07,6.44024990867822e-06
"YDR165W",1115.19117130012,-0.439382729511319,0.116851514761602,-3.76018000629036,0.000169791137652873,0.00169844363714833
"YDL113C",325.554477834378,-0.243707821349478,0.0936473924555863,-2.60239836859377,0.00925742489647009,0.0474164411631398
"YDR394W",1557.14478894037,-0.222666881122553,0.08421361424876,-2.64407225730526,0.00819151673076427,0.0434204815413103
"YDL154W",216.700865699498,0.288556016753487,0.111705925569386,2.58317555924329,0.0097895493893131,0.0493498453417032
"YDL184C",299.79693028001,-0.771802271130119,0.117469370355357,-6.57024268364885,5.02333220740161e-11,2.02904469288842e-09
