"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YML032C",555.589551072555,0.325909592076611,0.0700602366484596,4.65184829037794,3.28973071163151e-06,2.01488113259427e-05
"YML081W",1492.46867150819,-0.202111182455091,0.0548889590397746,-3.68218282858367,0.000231245472753384,0.000977356693451722
"YMR117C",164.771889298533,0.351250096479725,0.134457531442805,2.61234973385733,0.00899222128282452,0.0244458632023631
"YMR060C",237.204650853344,0.270989838025618,0.108679563938145,2.49347557356646,0.0126499287744288,0.0327778503607002
"YMR182C",93.352367231607,-0.604019431668077,0.230515415132607,-2.62029952018873,0.00878525682172253,0.0240220689958154
"YMR194C-B",121.476084931839,-1.18107252172942,0.191834666048826,-6.15672102470163,7.42665022784607e-10,7.92589995888188e-09
"YMR140W",343.205835029618,0.586528294865729,0.10308837791818,5.68956759928114,1.27361463939078e-08,1.14481811670309e-07
"YMR058W",11851.8816571577,-0.573286300875132,0.172906669976091,-3.31558233672769,0.000914523962992099,0.00333704512968301
"YMR242C",11156.31103866,-0.398809778726929,0.0822002535863936,-4.85168550371654,1.22416634637198e-06,8.07924469756566e-06
"YMR114C",106.010798633305,0.386568914648772,0.134937219886864,2.86480568499103,0.00417265203262052,0.0126447603381691
"YMR088C",702.981828432615,-0.522305777141264,0.0814623466960455,-6.41162203551668,1.43979437219502e-10,1.68601241896305e-09
"YMR303C",230.365730916841,0.559662015927575,0.106225833241071,5.26860556280568,1.37463983122422e-07,1.05191263823417e-06
"YMR316W",94.9071807057779,1.35120594423817,0.141035675542323,9.58059681738246,9.64857605020054e-22,3.44006772918323e-20
"YMR309C",6956.38904141309,0.201226118613499,0.0800129267972505,2.51492010938929,0.011905935958693,0.0310517708575311
"YMR313C",542.707517186827,-0.236364239192105,0.102144564721401,-2.31401680389736,0.0206668004053833,0.0490799562635753
"snR72",15.7048698376427,-1.62771844741898,0.44315305892145,-3.6730389526827,0.000239682929945614,0.00100701544365563
"snR75",60.7426329153433,-0.79021348039679,0.188848082793908,-4.18438709414466,2.85936517206086e-05,0.000146338961732898
"YML016C",664.526327953018,0.281434505580341,0.0938042547938733,3.00023177198911,0.00269774242068278,0.00861711317757633
"YML006C",446.23596748939,-0.44801870227158,0.0769405748359307,-5.82291857354773,5.78287343193684e-09,5.46759973964754e-08
"YMR178W",505.695251302681,0.241937557190686,0.0813906123889435,2.97254867716847,0.00295338374823248,0.00933093815901965
"YMR197C",274.987983625189,0.530800699173015,0.114172275435229,4.64912078829629,3.33352960605874e-06,2.03974937160756e-05
"YML014W",324.37396067076,0.31407597296291,0.0935176566053272,3.35846709983769,0.000783760504552909,0.00289968668988792
"YML106W",2614.92566204945,0.143557978923324,0.0544743708673829,2.63533064517283,0.00840553591985561,0.023122469931258
"YML025C",294.8273637727,0.258258612900077,0.10121211675186,2.55165706625071,0.0107211987716071,0.0283676163185725
"YML052W",987.000177636696,-0.540328667788714,0.078060928025225,-6.92188373182175,4.45676979737571e-12,6.47906716329197e-11
"YML047C",38.636800245025,-3.82796491711292,0.498677988735999,-7.67622594856387,1.63844027899353e-14,3.05746370191132e-13
"YMR315W",878.831707737738,0.293707925764481,0.0756056645603851,3.88473439751199,0.000102441817764147,0.000466399715418343
"YMR001C",966.861118783867,-0.325505018440803,0.0748638667397164,-4.34795893688614,1.37410322477167e-05,7.50815649014792e-05
"YML121W",290.458875455843,0.316099244372851,0.114445840544676,2.76199853894607,0.00574487355174727,0.0167951365127124
"YMR085W",42.6564328631092,0.60280177828173,0.220779614566951,2.73033259644057,0.00632704574722066,0.0181642851816294
"snR78",45.5790126556371,-1.10584414490486,0.247970796395568,-4.45957411509377,8.21226721350204e-06,4.67952583540804e-05
"YMR298W",515.848576455313,0.24963649605876,0.107846700524636,2.31473466359534,0.020627457511714,0.0490478516541574
"YMR320W",37.0055823341436,-0.811892715279424,0.278657137977311,-2.91359023197006,0.00357298562624182,0.0110158426409059
"YMR250W",332.59435693112,1.32226098889671,0.158296585592979,8.35306070528008,6.65164423420246e-17,1.58991735965094e-15
"YMR230W-A",13.1106202690448,-2.49497033074652,0.562340640104762,-4.43675977301181,9.1323111058548e-06,5.17146490484164e-05
"YMR124W",649.374694269412,0.249346251746732,0.101918476469361,2.44652648258229,0.0144240200436468,0.0363850181496259
"YMR311C",463.394191822022,0.382047139871513,0.100105858191236,3.81643139347223,0.000135395699454645,0.000602055290225962
"YML043C",607.676024812973,0.375110241891129,0.132996493822025,2.82045211201656,0.0047956030669006,0.0143150321669596
"YML046W",552.90586289122,-0.421633224630685,0.132080212869846,-3.19225124997467,0.00141168478984853,0.00491241675507814
"YML004C",1344.77880695005,0.604082962933686,0.0944999480261913,6.39241582192469,1.63285122891121e-10,1.90509260382291e-09
"YMR229C",12584.9189718293,0.380982102680237,0.102248744661612,3.72603207932852,0.000194517659302495,0.000838791690316571
"YMR063W",94.1205743173128,0.442097526428654,0.137628991765922,3.21224126367625,0.00131703721137706,0.00461831400165296
"YMR301C",809.726399545673,-0.260915525287427,0.0641421199168046,-4.06777209150317,4.74647702604044e-05,0.000230532849164308
"YMR276W",1792.03584136486,0.711809735073728,0.0948009594511894,7.50846551759026,5.98244397012985e-14,1.0546949562809e-12
"YMR002W",1105.63540650589,0.357685303129404,0.0778731195552292,4.59318061447027,4.36540924511637e-06,2.61596636641621e-05
